127.0.0.1 - - [15/Mar/2023:12:35:56 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:00 +0530] "GET /Project/index.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:01 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:11 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:11 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:11 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:57 +0530] "GET /Project/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:57 +0530] "GET /Project/index.jsp HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:36:59 +0530] "GET /Project/index.jsp HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:00 +0530] "GET /Project/index.jsp HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:08 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:08 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:08 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:28 +0530] "GET /Project/index.jsp HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:35 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:35 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:35 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:41 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:41 +0530] "GET /Project/index.jsp HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:43 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:43 +0530] "GET /Project/index.jsp HTTP/1.1" 200 2424
0:0:0:0:0:0:0:1 - - [15/Mar/2023:12:37:50 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
