127.0.0.1 - - [14/Mar/2023:14:34:39 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/ HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/assets/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /Project/assets/img/musical-instruments.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:34:43 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:09 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:10 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:10 +0530] "GET /Project/assets/fonts/fontawesome-webfont862f.woff?v=4.1.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:10 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:41 +0530] "GET /Project/sales.jsp HTTP/1.1" 200 6961
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:41 +0530] "GET /Project/assets/js/dataTables/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:41 +0530] "GET /Project/assets/js/dataTables/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:41 +0530] "GET /Project/assets/js/dataTables/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:41 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:46 +0530] "GET /Project/view-shops.jsp HTTP/1.1" 200 7032
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:47 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:35:47 +0530] "GET /binarytheme.com/BTlivedemos/2014/08/29/horizontal-admin/assets/js/images/sort_both.html HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:36:02 +0530] "GET /Project/add-shop.jsp HTTP/1.1" 200 6559
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:36:02 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:36:10 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [14/Mar/2023:14:36:10 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
